idx,timestamp,Vg,Ig,Pg,,,,,
1,2025-10-07 20:39:10.563697,0,0,0,,,,,
2,2025-10-07 20:41:26.480488,0.57,0.00025,0.0001425,,,,,
3,2025-10-07 20:41:54.605204,0.116,0.00051,0.00005916,,,,,
4,2025-10-07 20:42:23.110240,0.18,0.0008,0.000144,,,,,
5,2025-10-07 20:42:50.020784,0.238,0.00105,0.0002499,,,,,
6,2025-10-07 20:43:12.694970,0.302,0.00133,0.00040166,,,,,
7,2025-10-07 20:43:55.019454,0.393,0.00174,0.00068382,,,,,
8,2025-10-07 20:44:18.970564,0.485,0.00215,0.00104275,,,,,
9,2025-10-07 20:44:38.992773,0.543,0.00243,0.00131949,,,,,
10,2025-10-07 20:44:58.623713,0.611,0.00281,0.00171691,,,,,
11,,0.72,0.00327,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,disparo a 3.27 mA,VG =0.72
